frame_index_delta,score
0,-0.0006164509391967995
1,1.806434744342979
2,4.4646595584783
3,-0.006662853752656973
4,10.437861744039957
5,13.04405017996989
6,2.030061025007653
7,5.868488837664031
8,-0.02092708760984826
9,14.910601755552479
10,8.367040156199119
11,3.6256187814505796
12,27.94446579675653
13,0.004572629594371602
14,6.750697423145396
15,14.00776763833018
16,10.592789189027563
17,5.681144527032534
18,0.06550605872735202
19,-18.545503865167895
20,17.928885020488295
21,-25.012864212186088
22,27.26430408070984
23,-0.027611223059270162
24,-23.513139110715255
25,20.357087774560988
26,13.500155956291154
27,3.7232289259788756
28,-0.08604814244445047
29,-5.1005467701099425
30,-21.29996533792923
31,4.099387593264252
32,28.39949577565815
33,-0.021604638083740694
34,-24.3646293136768
35,29.719618392081525
36,-13.226553984096821
37,20.662473369080956
38,0.07763437794923914
39,-6.646309415707149
40,17.491396933366083
41,-17.102070010049758
42,-13.829320066494416
43,-0.018052046093291696
44,10.081566591210162
45,7.440512734723672
46,24.9893350114995
47,-7.1662917788021225
48,-0.01849115831066195
49,-10.22642988310946
50,22.064762496160636
51,-40.76085966453561
52,33.17594530477488
53,-0.009640748544875804
54,-28.60105573725957
55,20.768073688542685
56,-7.232182945589158
57,18.11062554776659
58,-0.036338395875424444
59,-29.43679981752234
60,5.468025066326877
61,32.3913817839396
62,-12.668066973766967
63,-0.061784272680574855
64,-14.504604387013138
65,-6.589554298625457
66,-16.9523773701958
67,-6.407239263735607
68,0.007906328094026463
69,21.04866485667137
70,16.11476604609069
71,-9.877473213485443
72,-38.08161855465322
73,-0.5377524378486289
74,-9.819512167176356
75,21.608585104364373
76,-33.87113511182524
77,29.63173604446515
78,-0.01070838514128098
79,-19.126094735239224
80,-10.953858980614715
81,-6.703840701924444
82,-17.442988270225204
83,-0.06114030850943104
84,10.635490060477933
85,-17.20723813706785
86,-8.688869719862321
87,12.038977175855894
88,0.046356680027575335
89,-9.023229160315289
90,16.299495139793102
91,-17.589120540957957
92,9.25603305787784
93,0.01811368867637851
94,-16.703782562352146
95,9.503113048201298
96,-11.471827172339149
97,-7.8475549740535095
98,-0.009618694031700833
99,-19.274572692652505
100,4.1841873619776875
101,-9.663681549818932
102,-8.853846380176424
103,-0.0583120577904715
104,6.862356261928036
105,-9.914789157662769
106,-4.112156022888218
107,-7.733791830212863
108,0.03497827734515501
109,-6.811255655727105
110,-3.9139044252394326
111,-3.357599574010383
112,-3.1460061874440295
113,-0.028356555166989695
114,-2.8520079003117225
115,-2.828107012202187
116,-2.268164984896632
117,-1.9555911714006773
118,0.028921226840620123
119,1.898727268865366
120,1.8070834291444013
121,1.9562368752265256
122,1.855531374063239
123,0.03515955551610861
124,2.0726789495611695
125,1.8780632600569516
126,2.0371422490946234
127,-1.9076537501787285
128,-0.03446428244659902
129,2.2074603273972717
130,2.0666887983837765
131,2.1579685269466395
132,2.304681170627134
133,0.01782081414067114
134,2.497956335576218
135,2.2679937970079793
136,2.238013310843554
137,-2.2642363626080915
138,0.013573823552391921
139,2.232743992818534
140,-2.127893071991021
141,2.044406362935552
142,2.138035917972616
143,0.007699361353705861
144,2.1488825089975445
145,2.176370248074187
146,2.10076263254843
147,2.198833324698028
148,0.010050320182549144
149,2.377905106077515
150,2.213317195081006
151,2.389088826030583
152,-2.304875855991283
153,0.03876570781267344
154,2.3355139124892235
155,2.3944320172669418
156,2.441649783392025
157,2.3569857060890955
158,-0.00877781422930942
159,2.4850748917156924
160,2.293692386533478
161,2.4494789544025197
162,-2.4436175506488595
163,-0.02053285725849587
164,2.5071874421607903
165,-2.4474328254517053
166,2.5269386862795873
167,-2.5044824349362487
168,-0.028774991450642915
169,2.6573493719929195
170,-2.446420048676382
171,2.6385207787590934
172,2.5548415544154843
173,-0.005441836096761252
174,2.685435501948835
175,-2.5567138029275793
176,2.5234282033897104
177,2.48347418317535
178,0.011203665485188155
179,2.526055398779846
180,2.427136356624218
181,-2.433451169239717
182,2.7372178139153567
183,0.0036663798068162037
184,2.5383787842649954
185,-2.5253933896005623
186,2.6805972221585344
187,2.5749228488723386
188,0.014812383743158785
189,2.7311413233850224
190,2.628745766485469
191,2.989209690405706
192,2.849090991940251
193,0.007520045670489858
194,3.045010480497934
195,3.014882437433328
196,3.241705959564994
197,3.1365528235154856
198,-0.006694226202859656
199,3.319309028805859
200,3.1969172404409276
201,3.403218933808385
202,3.2423965788509834
203,-0.046650646217975406
204,3.485322546834222
205,3.284588976374097
206,3.5772043178788704
207,3.383971756874504
208,0.03862647693188155
209,3.6231348757492734
210,3.4001093282684782
211,3.6040302275435563
212,3.558254784929619
213,-0.003352856949766446
214,3.7785958696486635
215,3.5903608410679015
216,3.806013672750632
217,3.6485118866073547
218,0.057784501790077505
219,3.797256391469495
220,3.6395465337736375
221,3.8749970066725186
222,3.6360500583594915
223,-0.019754886956347056
224,3.831005322211394
225,3.616347537952041
226,3.8954343145732393
227,3.6208429245103746
228,-0.053961731460014095
229,3.7810799608223107
230,3.562925466125513
231,3.8015778517783216
232,3.620416312696594
233,0.13286567036177854
234,3.8910801450218035
235,3.58910154245133
236,3.9494714344973554
237,3.8116817614507954
238,0.14351798074216257
239,4.314874354302763
240,3.8481170848981274
241,4.169953655289867
242,3.960653657100107
243,-0.04962891879677273
244,4.263131391784821
245,4.067979548519313
246,4.293541562223608
247,4.061444309842286
248,-0.008385187898773355
249,4.258968058380052
250,3.9825533540388522
251,4.287257032375505
252,4.105332059643523
253,-0.042157151507255894
254,4.341470423967577
255,3.8969957413342424
256,4.246880451832999
257,4.142896379942477
258,0.011622564532233126
259,4.181368412864355
260,4.065019206405014
261,3.994598277171778
262,4.075967568519419
263,-0.0007797569329056036
264,4.3957049774665915
265,3.9867303757148465
266,4.076150097382017
267,3.9233517487725416
268,-0.22638170058965817
269,3.990094551546102
270,3.8108058883573834
271,4.07800045618158
272,3.834259814643855
273,-0.05422607513971634
274,4.140769853730064
275,3.9545865942043292
276,4.094182543619845
277,3.9013708952671595
278,0.08938580917618257
279,4.18653522475676
280,3.81087686377739
281,4.012392206388238
282,3.9428055110508717
283,-0.11614077632490559
284,4.097738462336908
285,3.8613930273379675
286,4.062104447136793
287,-4.013138222832973
288,-0.0930752799652634
289,4.226777140349586
290,3.9150012500156404
291,4.160884246942857
292,-3.888612426781104
293,0.049813683072446026
294,3.9921424119867903
295,-3.9890998865518608
296,3.964013499850609
297,-3.825856805871653
298,-0.16431548833630522
299,4.009034974706514
300,3.5573273351046906
301,3.89509897764802
302,-3.837493645322513
303,0.27837530329050536
304,3.772420426575033
305,3.8673370929120847
306,-3.7487124776947787
307,3.9292154754991264
308,-0.10706159597359663
309,3.891819412009749
310,-3.892975630626525
311,3.9123470554943327
312,-3.6929898843784783
313,-0.10168905577978914
314,3.896520490844037
315,-3.800389346998663
316,3.4937321960523535
317,-3.9058717743649845
318,-0.003040380771910582
319,3.815274261353237
320,-3.722412692553712
321,3.8072148936612664
322,-3.7967327055699753
323,-0.07121315293900145
324,3.871891480558464
325,-3.8692704935823055
326,-4.164627952117554
327,-4.851599439284855
328,-0.08257392838379715
329,-3.9928032910557105
330,-4.511057861889007
331,3.6156651028666498
332,-3.73102578622464
333,-0.015837346145814103
